Dataset,#Master Nodes,#Core Nodes,Runtime_1,Runtime_2,Runtime_3,Mean,Std
1M,1,1,28.85188413,30.81549215,28.65469241,29.44068956,1.1946894
4M,1,1,143.1711929,143.124063,147.1608863,144.4853807,2.317175609
4M,1,3,63.13602543,64.95994473,64.86510563,64.32035859,1.026758199
