Dataset,#Master Nodes,#Core Nodes,Runtime_1,Runtime_2,Runtime_3,Mean,Std
1M,1,1,30.44000626,45.4699626,33.40298986,35.89094489,6.500347772
4M,1,1,291.2894573,273.1388175,264.4691811,276.0754279,11.17504929
4M,1,3,119.3900495,118.8831644,96.85053301,111.1894293,10.50779383
