Dataset,#Master Nodes,#Core Nodes,Runtime_1,Runtime_2,Runtime_3,Mean,Std
1M,1,1,67.33424,54.46546,50.64333,57.48101,8.744528318
4M,1,1,2832.747347,211.4530518,189.07007,1077.756823,1240.999343
4M,1,3,89.14642549,89.08980632,87.00100207,88.41241129,0.998284672
